Provenance,Destination,Train,Numéro,Jour,Départ (réel),Départ (prévu),Retard (min),Cause,Arrêts
Paris - Montparnasse - Hall 1 & 2,Quimper ,TGV INOUI,8707,08-03-2023,08:40:00,08:40:00,0,,"['Laval', 'Rennes', 'Redon', 'Vannes', 'Auray', 'Lorient', 'Quimper']"
Paris - Montparnasse - Hall 1 & 2,Bordeaux Saint-Jean ,OUIGO,7671,08-03-2023,09:07:00,09:07:00,0,,['Bordeaux Saint-Jean']
Paris - Montparnasse - Hall 1 & 2,La Rochelle ,TGV INOUI,8375,08-03-2023,09:12:00,09:12:00,0,,"['Saint-Pierre-des-Corps', 'Poitiers', 'Saint-Maixent-l\'École"", \'links\': [], \'coord\': {\'lat\': \'46.406482\', \'lon\': \'-0.20132\'}, \'label\': ""Saint-Maixent-l\'École (Saint-Maixent-l\'École)"", \'equipments\': [], \'id\': \'stop_point:SNCF:87485490:LongDistanceTrain\'', 'Niort', 'Surgères', 'La Rochelle']"
Paris - Montparnasse - Hall 1 & 2,Le Croisic ,TGV INOUI,8913,08-03-2023,09:30:00,09:30:00,0,,"['Le Mans', 'Angers-Saint-Laud', 'Nantes', 'Saint-Nazaire', 'La Baule-Escoublac', 'Le Croisic']"
Paris - Montparnasse - Hall 1 & 2,La Roche-sur-Yon ,TGV INOUI,8973,08-03-2023,09:30:00,09:30:00,0,,"['Le Mans', 'Angers-Saint-Laud', 'Nantes', 'La Roche-sur-Yon']"
Paris - Montparnasse - Hall 1 & 2,Bordeaux Saint-Jean ,TGV INOUI,8437,08-03-2023,10:03:00,10:03:00,0,,"['Saint-Pierre-des-Corps', 'Poitiers', 'Angoulême', 'Bordeaux Saint-Jean']"
Paris - Montparnasse - Hall 1 & 2,Chartres ,TER,862413,08-03-2023,10:09:00,10:09:00,0,,"['Versailles Chantiers', 'Rambouillet', 'Gazeran', 'Épernon', 'Maintenon', 'Saint-Piat', 'Jouy', 'La Villette Saint-Prest', 'Chartres']"
Paris - Montparnasse - Hall 1 & 2,Brest ,TGV INOUI,8615,08-03-2023,10:53:00,10:53:00,0,,"['Rennes', 'Lamballe', 'Saint-Brieuc', 'Guingamp', 'Plouaret - Trégor', 'Morlaix', 'Brest']"
Paris - Montparnasse - Hall 1 & 2,Quimper ,TGV INOUI,8715,08-03-2023,10:53:00,10:53:00,0,,"['Rennes', 'Vannes', 'Auray', 'Lorient', 'Quimper']"
Paris - Montparnasse - Hall 1 & 2,Bordeaux Saint-Jean ,TGV INOUI,12255,08-03-2023,11:08:00,11:08:00,0,,['Bordeaux Saint-Jean']
Paris - Montparnasse - Hall 1 & 2,Toulouse Matabiau ,TGV INOUI,8505,08-03-2023,11:08:00,11:08:00,0,,"['Bordeaux Saint-Jean', 'Agen', 'Montauban Ville Bourbon', 'Toulouse Matabiau']"
Paris - Montparnasse - Hall 1 & 2,Hendaye ,TGV INOUI,8541,08-03-2023,12:08:00,12:08:00,0,,"['Bordeaux Saint-Jean', 'Dax', 'Bayonne', 'Biarritz', 'Saint-Jean-de-Luz - Ciboure', 'Hendaye']"
Paris - Montparnasse - Hall 1 & 2,Tours ,TGV INOUI,8303,08-03-2023,12:25:00,12:25:00,0,,"['Vendôme - Villiers-sur-Loir', 'Saint-Pierre-des-Corps', 'Tours']"
Paris - Montparnasse - Hall 1 & 2,Quimper ,OUIGO,7615,08-03-2023,12:44:30,12:44:30,0,,"['Le Mans', 'Laval', 'Rennes', 'Vannes', 'Auray', 'Lorient', 'Quimper']"
Paris - Montparnasse - Hall 1 & 2,Nantes ,TGV INOUI,8875,08-03-2023,13:29:00,13:29:00,0,,"['Le Mans', 'Sablé-sur-Sarthe', 'Angers-Saint-Laud', 'Nantes']"
Paris - Montparnasse - Hall 1 & 2,Bordeaux Saint-Jean ,OUIGO,7653,08-03-2023,13:41:00,13:41:00,0,,"['Poitiers', 'Bordeaux Saint-Jean']"
Paris - Montparnasse - Hall 1 & 2,Tarbes ,TGV INOUI,8574,08-03-2023,14:02:00,14:02:00,0,,"['Massy TGV', 'Bordeaux Saint-Jean', 'Dax', 'Orthez', 'Pau', 'Lourdes', 'Tarbes']"
Paris - Montparnasse - Hall 1 & 2,Bordeaux Saint-Jean ,TGV INOUI,8485,08-03-2023,14:15:00,14:15:00,0,,"['Saint-Pierre-des-Corps', 'Poitiers', 'Angoulême', 'Libourne', 'Bordeaux Saint-Jean']"
Paris - Montparnasse - Hall 1 & 2,Quimper ,TGV INOUI,8723,08-03-2023,14:41:00,14:41:00,0,,"['Laval', 'Rennes', 'Redon', 'Vannes', 'Lorient', 'Quimperlé', 'Rosporden', 'Quimper']"
Paris - Montparnasse - Hall 1 & 2,Le Mans ,TER,16769,08-03-2023,15:06:00,15:06:00,0,,"['Versailles Chantiers', 'Rambouillet', 'Épernon', 'Maintenon', 'Chartres', 'Courville-sur-Eure', 'La Loupe', 'Nogent-le-Rotrou', 'La Ferté-Bernard', 'Connerré - Beillé', 'Le Mans']"
Paris - Montparnasse - Hall 1 & 2,Toulouse Matabiau ,TGV INOUI,8509,08-03-2023,15:08:00,15:08:00,0,,"['Bordeaux Saint-Jean', 'Toulouse Matabiau']"
Paris - Montparnasse - Hall 1 & 2,Chartres ,TER,862425,08-03-2023,16:09:00,16:09:00,0,,"['Versailles Chantiers', 'Rambouillet', 'Gazeran', 'Épernon', 'Maintenon', 'Saint-Piat', 'Jouy', 'La Villette Saint-Prest', 'Chartres']"
Paris - Montparnasse - Hall 1 & 2,Tours ,TGV INOUI,8313,08-03-2023,16:28:00,16:28:00,0,,"['Vendôme - Villiers-sur-Loir', 'Saint-Pierre-des-Corps', 'Tours']"
Paris - Montparnasse - Hall 1 & 2,Chartres ,TER,862429,08-03-2023,17:09:00,17:09:00,0,,"['Versailles Chantiers', 'Rambouillet', 'Gazeran', 'Épernon', 'Maintenon', 'Saint-Piat', 'Jouy', 'La Villette Saint-Prest', 'Chartres']"
Paris - Montparnasse - Hall 1 & 2,Rennes ,TGV INOUI,8067,08-03-2023,17:12:00,17:12:00,0,,"['Le Mans', 'Laval', 'Rennes']"
Paris - Montparnasse - Hall 1 & 2,Chartres ,TER,862431,08-03-2023,17:39:00,17:39:00,0,,"['Versailles Chantiers', 'Rambouillet', 'Gazeran', 'Épernon', 'Maintenon', 'Saint-Piat', 'Jouy', 'La Villette Saint-Prest', 'Chartres']"
Paris - Montparnasse - Hall 1 & 2,Saint-Nazaire ,TGV INOUI,8905,08-03-2023,17:48:00,17:48:00,0,,"['Angers-Saint-Laud', 'Nantes', 'Saint-Nazaire']"
Paris - Montparnasse - Hall 1 & 2,Le Mans ,TER,16775,08-03-2023,18:05:00,18:05:00,0,,"['Versailles Chantiers', 'Épernon', 'Maintenon', 'Chartres', 'Courville-sur-Eure', 'La Loupe', 'Nogent-le-Rotrou', 'La Ferté-Bernard', 'Connerré - Beillé', 'Le Mans']"
Paris - Montparnasse - Hall 1 & 2,Saint-Malo ,TGV INOUI,8093,08-03-2023,18:11:00,18:11:00,0,,"['Laval', 'Vitré', 'Rennes', 'Dol-de-Bretagne', 'Saint-Malo']"
Paris - Montparnasse - Hall 1 & 2,Poitiers ,TGV INOUI,8345,08-03-2023,18:28:00,18:28:00,0,,"['Vendôme - Villiers-sur-Loir', 'Saint-Pierre-des-Corps', 'Châtellerault', 'Poitiers']"
Paris - Montparnasse - Hall 1 & 2,Tours ,TGV INOUI,8319,08-03-2023,18:28:00,18:28:00,0,,"['Vendôme - Villiers-sur-Loir', 'Saint-Pierre-des-Corps', 'Tours']"
Paris - Montparnasse - Hall 1 & 2,Le Mans ,TGV INOUI,8897,08-03-2023,18:36:00,18:36:00,0,,['Le Mans']
Paris - Montparnasse - Hall 1 & 2,Chartres ,TER,862437,08-03-2023,18:39:00,18:39:00,0,,"['Versailles Chantiers', 'Rambouillet', 'Gazeran', 'Épernon', 'Maintenon', 'Saint-Piat', 'Jouy', 'La Villette Saint-Prest', 'Chartres']"
Paris Est,Nancy ,TGV INOUI,2501,08-03-2023,07:07:00,07:07:00,0,,"['Champagne-Ardenne TGV', 'Nancy']"
Paris Est,Mannheim - Hauptbahnhof ,DB SNCF,9561,08-03-2023,07:20:00,07:20:00,0,,"['Strasbourg', 'Karlsruhe Hauptbahnhof', 'Mannheim - Hauptbahnhof']"
Paris Est,Colmar ,TGV INOUI,2363,08-03-2023,07:20:00,07:20:00,0,,"['Strasbourg', 'Colmar']"
Paris Est,Luxembourg ,TGV INOUI,2801,08-03-2023,07:25:00,07:25:00,0,,"['Metz Ville', 'Thionville', 'Luxembourg (CFL)']"
Paris Est,Reims ,TGV INOUI,2707,08-03-2023,07:39:00,07:39:00,0,,['Reims']
Paris Est,Colmar ,TGV INOUI,2365,08-03-2023,09:25:00,09:25:00,0,,"['Strasbourg', 'Colmar']"
Paris Est,Nancy ,TGV INOUI,2507,08-03-2023,10:13:00,10:13:00,0,,['Nancy']
Paris Est,Metz Ville ,TGV INOUI,2815,08-03-2023,10:40:00,10:40:00,0,,['Metz Ville']
Paris Est,Remiremont ,TGV INOUI,2571,08-03-2023,12:23:00,12:23:00,0,,"['Champagne-Ardenne TGV', 'Nancy', 'Épinal', 'Remiremont']"
Paris Est,Metz Ville ,TGV INOUI,2613,08-03-2023,15:24:00,15:24:00,0,,['Metz Ville']
Paris Est,Reims ,TGV INOUI,2743,08-03-2023,15:58:00,15:58:00,0,,['Reims']
Paris Est,Nancy ,TGV INOUI,2513,08-03-2023,16:07:00,16:07:00,0,,"['Champagne-Ardenne TGV', 'Nancy']"
Paris Est,Strasbourg ,OUIGO,7693,08-03-2023,16:16:00,16:16:00,0,,"['Metz Ville', 'Strasbourg']"
Paris Est,Mulhouse-Ville ,TER,839557,08-03-2023,16:42:00,16:42:00,0,,"['Nogent-sur-Seine', 'Romilly-sur-Seine', 'Troyes', 'Vendeuvre', 'Bar-sur-Aube', 'Chaumont', 'Langres', 'Culmont - Chalindrey', 'Vesoul', 'Lure', 'Belfort-Ville', 'Altkirch', 'Mulhouse-Ville']"
Paris Est,Freiburg ,TGV INOUI,9591,08-03-2023,17:25:00,17:25:00,0,,"['Strasbourg', 'Offenburg', 'Lahr Schwarzw', 'Ringsheim', 'Freiburg (Breisgau) Hauptbahnhof']"
Paris Est,Strasbourg ,TGV INOUI,2061,08-03-2023,17:25:00,17:25:00,0,,['Strasbourg']
Paris Est,Reims ,TGV INOUI,2747,08-03-2023,17:28:00,17:28:00,0,,['Reims']
Paris Est,Saint-Dizier ,TER,839139,08-03-2023,17:36:00,17:36:00,0,,"['Château-Thierry', 'Dormans', 'Épernay', 'Châlons-en-Champagne', 'Vitry-le-François', 'Saint-Dizier']"
Paris Est,Troyes ,TER,839409,08-03-2023,17:42:00,17:42:00,0,,"['Nogent-sur-Seine', 'Romilly-sur-Seine', 'Troyes']"
Paris Est,Strasbourg ,TGV INOUI,2079,08-03-2023,17:55:00,17:55:00,0,,['Strasbourg']
Paris Est,Stuttgart Hbf ,DB SNCF,9579,08-03-2023,17:55:00,17:55:00,0,,"['Strasbourg', 'Karlsruhe Hauptbahnhof', 'Stuttgart Hbf']"
Paris Est,Saint-Dié-des-Vosges ,TGV INOUI,2593,08-03-2023,18:10:00,18:10:00,0,,"['Meuse TGV', 'Nancy', 'Saint-Dié-des-Vosges']"
Paris Est,Remiremont ,TGV INOUI,2573,08-03-2023,18:10:00,18:10:00,0,,"['Meuse TGV', 'Nancy', 'Épinal', 'Remiremont']"
Paris Est,Reims ,TGV INOUI,2253,08-03-2023,18:28:00,18:28:00,0,,['Reims']
Paris Est,Sedan ,TGV INOUI,2751,08-03-2023,18:28:00,18:28:00,0,,"['Reims', 'Rethel', 'Charleville-Mézières', 'Sedan']"
Paris Est,Saint-Dizier ,TER,839141,08-03-2023,18:35:00,18:35:00,0,,"['Château-Thierry', 'Dormans', 'Épernay', 'Châlons-en-Champagne', 'Vitry-le-François', 'Saint-Dizier']"
Dijon Ville,Lyon Part Dieu ,TER,17819,07-03-2023,21:42:00,21:42:00,0,,[]
Lyon Part Dieu,Chambéry - Challes-les-Eaux ,TER,18503,08-03-2023,07:50:00,07:50:00,0,,"['Bourgoin-Jallieu', 'La Tour-du-Pin', 'Pont-de-Beauvoisin', 'Lépin-le-Lac - La Bauche', 'Chambéry - Challes-les-Eaux']"
Lyon Perrache,Paris - Gare de Lyon - Hall 1 & 2 ,TGV INOUI,6608,08-03-2023,08:04:00,08:04:00,0,,"['Le Creusot - Montceau-les-Mines - Montchanin TGV', 'Paris - Gare de Lyon - Hall 1 & 2']"
Lyon Part Dieu,Nice ,TGV INOUI,6805,08-03-2023,08:06:00,08:06:00,0,,"['Valence TGV Rhône-Alpes Sud', 'Avignon TGV', 'Aix-en-Provence TGV', 'Marseille - Saint-Charles', 'Toulon', 'Saint-Raphaël - Valescure', 'Cannes', 'Antibes', 'Nice']"
Lyon Part Dieu,Annecy ,TER,17972,08-03-2023,08:08:00,08:08:00,0,,"['Ambérieu-en-Bugey', 'Aix-les-Bains - Le Revard', 'Albens', 'Rumilly', 'Annecy']"
Saint-Étienne Châteaucreux,Ambérieu-en-Bugey ,TER,886809,08-03-2023,08:12:00,08:12:00,0,,"['Crépieux la Pape', 'Miribel', 'Saint-Maurice-de-Beynost', 'Beynost', 'Montluel', 'La Valbonne', 'Meximieux - Pérouges', 'Ambérieu-en-Bugey']"
Lyon Vaise,Bourg-en-Bresse ,TER,889465,08-03-2023,08:12:00,08:12:00,0,,"['Sathonay - Rillieux', 'Les Échets', 'Mionnay', 'Saint-André-de-Corcy', 'Saint-Marcel-en-Dombes', 'Villars-les-Dombes', 'Marlieux - Châtillon-sur-Chalaronne', 'Saint-Paul-de-Varax', 'Servas - Lent', 'Bourg-en-Bresse']"
Paris - Gare de Lyon - Hall 1 & 2,Lyon Perrache ,TGV INOUI,6601,08-03-2023,08:13:00,08:13:00,0,,['Lyon Perrache']
Lyon Part Dieu,Grenoble ,TER,17609,08-03-2023,08:16:00,08:16:00,0,,"['La Verpillière', 'Bourgoin-Jallieu', 'La Tour-du-Pin', 'Voiron', 'Grenoble']"
Lyon Part Dieu,Valence Ville ,TER,886113,08-03-2023,08:20:00,08:20:00,0,,"['Vienne', 'Le Péage-de-Roussillon', 'Tain-l\'Hermitage - Tournon"", \'links\': [], \'coord\': {\'lat\': \'45.072178\', \'lon\': \'4.839708\'}, \'label\': ""Tain-l\'Hermitage - Tournon (Tain-l\'Hermitage)"", \'equipments\': [], \'id\': \'stop_point:SNCF:87761163:LongDistanceTrain\'', 'Valence Ville']"
Ambérieu-en-Bugey,Saint-Étienne Châteaucreux ,TER,886708,08-03-2023,08:24:00,08:24:00,0,,"['Givors Ville', 'Rive-de-Gier', 'Saint-Chamond', 'Saint-Étienne Châteaucreux']"
Paris - Gare de Lyon - Hall 1 & 2,Lyon Perrache ,TGV INOUI,6641,08-03-2023,08:28:00,08:28:00,0,,['Lyon Perrache']
Paris - Gare de Lyon - Hall 1 & 2,Lyon Perrache ,TGV INOUI,6603,08-03-2023,09:02:00,09:02:00,0,,['Lyon Perrache']
Lyon Perrache,Paris - Gare de Lyon - Hall 1 & 2 ,TGV INOUI,6610,08-03-2023,09:04:00,09:04:00,0,,['Paris - Gare de Lyon - Hall 1 & 2']
Lyon Part Dieu,Dijon Ville ,TER,17804,08-03-2023,09:18:00,09:18:00,0,,"['Saint-Germain-au-Mont-d\'Or"", \'links\': [], \'coord\': {\'lat\': \'45.888431\', \'lon\': \'4.804206\'}, \'label\': ""Saint-Germain-au-Mont-d\'Or (Saint-Germain-au-Mont-d\'Or)"", \'equipments\': [], \'id\': \'stop_point:SNCF:87721282:LongDistanceTrain\'', 'Villefranche-sur-Saône', 'Belleville sur Saône', 'Mâcon', 'Tournus', 'Chalon-sur-Saône', 'Chagny', 'Beaune', 'Dijon Ville']"
Paris - Gare de Lyon - Hall 1 & 2,Lyon Perrache ,TGV INOUI,6643,08-03-2023,09:28:00,09:28:00,0,,['Lyon Perrache']
Lyon Perrache,Paris - Gare de Lyon - Hall 1 & 2 ,OUIGO,7802,08-03-2023,09:38:00,09:38:00,0,,['Paris - Gare de Lyon - Hall 1 & 2']
Lyon Perrache,Paris - Gare de Lyon - Hall 1 & 2 ,TGV INOUI,6612,08-03-2023,10:04:00,10:04:00,0,,"['Le Creusot - Montceau-les-Mines - Montchanin TGV', 'Paris - Gare de Lyon - Hall 1 & 2']"
Lyon Vaise,Bourg-en-Bresse ,TER,889469,08-03-2023,10:12:00,10:12:00,0,,"['Sathonay - Rillieux', 'Les Échets', 'Mionnay', 'Saint-André-de-Corcy', 'Saint-Marcel-en-Dombes', 'Villars-les-Dombes', 'Marlieux - Châtillon-sur-Chalaronne', 'Saint-Paul-de-Varax', 'Servas - Lent', 'Bourg-en-Bresse']"
Lyon Part Dieu,Saint-Étienne Châteaucreux ,TER,886759,08-03-2023,10:24:00,10:24:00,0,,"['Givors Ville', 'Rive-de-Gier', 'Saint-Chamond', 'Saint-Étienne Châteaucreux']"
Lyon Perrache,Paris - Gare de Lyon - Hall 1 & 2 ,TGV INOUI,6614,08-03-2023,11:04:00,11:04:00,0,,['Paris - Gare de Lyon - Hall 1 & 2']
Lyon Part Dieu,Saint-Étienne Châteaucreux ,TER,886719,08-03-2023,11:24:00,11:24:00,0,,"['Givors Ville', 'Rive-de-Gier', 'Saint-Chamond', 'Saint-Étienne Châteaucreux']"
Lyon Part Dieu,Paris - Gare de Lyon - Hall 1 & 2 ,TGV INOUI,6616,08-03-2023,11:34:00,11:34:00,0,,['Paris - Gare de Lyon - Hall 1 & 2']
Paris - Gare de Lyon - Hall 1 & 2,Lyon Perrache ,TGV INOUI,6609,08-03-2023,12:02:00,12:02:00,0,,['Lyon Perrache']
Lyon Part Dieu,Toulouse Matabiau ,TGV INOUI,6823,08-03-2023,12:10:00,12:10:00,0,,"['Valence TGV Rhône-Alpes Sud', 'Nîmes Centre', 'Montpellier Saint-Roch', 'Béziers', 'Narbonne', 'Carcassonne', 'Toulouse Matabiau']"
Paris - Gare de Lyon - Hall 1 & 2,Lyon Perrache ,TGV INOUI,6611,08-03-2023,13:02:00,13:02:00,0,,['Lyon Perrache']
Saint-Étienne Châteaucreux,Paris - Gare de Lyon - Hall 1 & 2 ,TGV INOUI,6694,08-03-2023,13:04:00,13:04:00,0,,['Paris - Gare de Lyon - Hall 1 & 2']
Lyon Perrache,Paris - Gare de Lyon - Hall 1 & 2 ,TGV INOUI,6618,08-03-2023,13:04:00,13:04:00,0,,['Paris - Gare de Lyon - Hall 1 & 2']
Bourg-en-Bresse,Lyon Vaise ,TER,889425,08-03-2023,13:51:00,13:51:00,0,,"['Lyon Perrache', 'Lyon Vaise']"
Paris - Gare de Lyon - Hall 1 & 2,Lyon Perrache ,TGV INOUI,6613,08-03-2023,14:02:00,14:02:00,0,,['Lyon Perrache']
Lyon Perrache,Paris - Gare de Lyon - Hall 1 & 2 ,TGV INOUI,6620,08-03-2023,14:04:00,14:04:00,0,,"['Le Creusot - Montceau-les-Mines - Montchanin TGV', 'Paris - Gare de Lyon - Hall 1 & 2']"
Lyon Part Dieu,Toulon ,TGV INOUI,6813,08-03-2023,14:06:00,14:06:00,0,,"['Avignon TGV', 'Aix-en-Provence TGV', 'Marseille - Saint-Charles', 'Toulon']"
Lyon Vaise,Bourg-en-Bresse ,TER,889477,08-03-2023,14:12:00,14:12:00,0,,"['Sathonay - Rillieux', 'Les Échets', 'Mionnay', 'Saint-André-de-Corcy', 'Saint-Marcel-en-Dombes', 'Villars-les-Dombes', 'Marlieux - Châtillon-sur-Chalaronne', 'Saint-Paul-de-Varax', 'Servas - Lent', 'Bourg-en-Bresse']"
Paris - Gare de Lyon - Hall 1 & 2,Lyon Perrache ,OUIGO,7803,08-03-2023,14:28:00,14:28:00,0,,['Lyon Perrache']
Bourg-en-Bresse,Lyon Vaise ,TER,889427,08-03-2023,14:51:00,14:51:00,0,,"['Lyon Perrache', 'Lyon Vaise']"
Paris - Gare de Lyon - Hall 1 & 2,Lyon Perrache ,TGV INOUI,6615,08-03-2023,15:02:00,15:02:00,0,,['Lyon Perrache']
Lyon Perrache,Paris - Gare de Lyon - Hall 1 & 2 ,TGV INOUI,6622,08-03-2023,15:04:00,15:04:00,0,,['Paris - Gare de Lyon - Hall 1 & 2']
Lyon Vaise,Bourg-en-Bresse ,TER,889479,08-03-2023,15:12:00,15:12:00,0,,"['Sathonay - Rillieux', 'Les Échets', 'Mionnay', 'Saint-André-de-Corcy', 'Saint-Marcel-en-Dombes', 'Villars-les-Dombes', 'Marlieux - Châtillon-sur-Chalaronne', 'Saint-Paul-de-Varax', 'Servas - Lent', 'Bourg-en-Bresse']"
