Provenance,Destination,Train,Numéro,Jour,Arrivée (réelle),Arrivée (prévue),Retard (min),Cause,Arrêts
Nantes,Paris - Montparnasse - Hall 1 & 2 ,TGV INOUI,8880,09-03-2023,18:25:00,18:25:00,0,,"['Nantes', 'Angers-Saint-Laud', 'Le Mans', 'Paris - Montparnasse - Hall 1 & 2']"
Rennes,Paris - Montparnasse - Hall 1 & 2 ,TGV INOUI,8074,09-03-2023,18:49:00,18:49:00,0,,"['Rennes', 'Vitré', 'Laval', 'Le Mans', 'Paris - Montparnasse - Hall 1 & 2']"
Nogent-le-Rotrou,Paris - Montparnasse - Hall 1 & 2 ,TER,862586,09-03-2023,18:52:00,18:52:00,0,,"['Nogent-le-Rotrou', 'Condé-sur-Huisne', 'Bretoncelles', 'La Loupe', 'Pontgouin', 'Courville-sur-Eure', 'Saint-Aubin - Saint-Luperce', 'Amilly Ouerray', 'Chartres', 'La Villette Saint-Prest', 'Jouy', 'Saint-Piat', 'Maintenon', 'Épernon', 'Gazeran', 'Rambouillet', 'Versailles Chantiers', 'Paris - Montparnasse - Hall 1 & 2']"
Quimper,Paris - Montparnasse - Hall 1 & 2 ,TGV INOUI,8730,09-03-2023,19:06:00,19:06:00,0,,"['Quimper', 'Rosporden', 'Quimperlé', 'Lorient', 'Auray', 'Vannes', 'Rennes', 'Paris - Montparnasse - Hall 1 & 2']"
Bordeaux Saint-Jean,Paris - Montparnasse - Hall 1 & 2 ,TGV INOUI,8418,09-03-2023,19:24:00,19:24:00,0,,"['Bordeaux Saint-Jean', 'Massy TGV', 'Paris - Montparnasse - Hall 1 & 2']"
La Rochelle,Paris - Montparnasse - Hall 1 & 2 ,TGV INOUI,8364,09-03-2023,19:37:00,19:37:00,0,,"['La Rochelle', 'Surgères', 'Niort', 'Paris - Montparnasse - Hall 1 & 2']"
Chartres,Paris - Montparnasse - Hall 1 & 2 ,TER,862438,09-03-2023,19:44:30,19:44:30,0,,"['Chartres', 'La Villette Saint-Prest', 'Jouy', 'Saint-Piat', 'Maintenon', 'Épernon', 'Paris - Montparnasse - Hall 1 & 2']"
Bordeaux Saint-Jean,Paris - Montparnasse - Hall 1 & 2 ,TGV INOUI,8488,09-03-2023,19:48:00,19:48:00,0,,"['Bordeaux Saint-Jean', 'Libourne', 'Angoulême', 'Poitiers', 'Châtellerault', 'Paris - Montparnasse - Hall 1 & 2']"
Bordeaux Saint-Jean,Paris - Montparnasse - Hall 1 & 2 ,TGV INOUI,8420,09-03-2023,19:52:00,19:52:00,0,,"['Bordeaux Saint-Jean', 'Paris - Montparnasse - Hall 1 & 2']"
Le Mans,Paris - Montparnasse - Hall 1 & 2 ,TER,16778,09-03-2023,19:53:00,19:53:00,0,,"['Le Mans', 'Connerré - Beillé', 'La Ferté-Bernard', 'Nogent-le-Rotrou', 'La Loupe', 'Courville-sur-Eure', 'Chartres', 'Maintenon', 'Épernon', 'Rambouillet', 'Versailles Chantiers', 'Paris - Montparnasse - Hall 1 & 2']"
Le Croisic,Paris - Montparnasse - Hall 1 & 2 ,TGV INOUI,8926,09-03-2023,20:29:00,20:29:00,0,,"['Le Croisic', 'La Baule-Escoublac', 'Saint-Nazaire', 'Nantes', 'Angers-Saint-Laud', 'Sablé-sur-Sarthe', 'Le Mans', 'Paris - Montparnasse - Hall 1 & 2']"
Nogent-le-Rotrou,Paris - Montparnasse - Hall 1 & 2 ,TER,862588,09-03-2023,20:53:00,20:53:00,0,,"['Nogent-le-Rotrou', 'Condé-sur-Huisne', 'Bretoncelles', 'La Loupe', 'Pontgouin', 'Courville-sur-Eure', 'Saint-Aubin - Saint-Luperce', 'Amilly Ouerray', 'Chartres', 'La Villette Saint-Prest', 'Jouy', 'Saint-Piat', 'Maintenon', 'Épernon', 'Gazeran', 'Rambouillet', 'Versailles Chantiers', 'Paris - Montparnasse - Hall 1 & 2']"
Brest,Paris - Montparnasse - Hall 1 & 2 ,TGV INOUI,8642,09-03-2023,21:08:00,21:08:00,0,,"['Brest', 'Morlaix', 'Guingamp', 'Saint-Brieuc', 'Rennes', 'Paris - Montparnasse - Hall 1 & 2']"
Quimper,Paris - Montparnasse - Hall 1 & 2 ,OUIGO,7616,09-03-2023,21:48:00,21:48:00,0,,"['Quimper', 'Lorient', 'Auray', 'Vannes', 'Rennes', 'Laval', 'Le Mans', 'Paris - Montparnasse - Hall 1 & 2']"
Chartres,Paris - Montparnasse - Hall 1 & 2 ,TER,862400,10-03-2023,05:20:00,05:20:00,0,,"['Chartres', 'La Villette Saint-Prest', 'Jouy', 'Saint-Piat', 'Maintenon', 'Épernon', 'Gazeran', 'Rambouillet', 'Versailles Chantiers', 'Paris - Montparnasse - Hall 1 & 2']"
Chartres,Paris - Montparnasse - Hall 1 & 2 ,TER,16750,10-03-2023,05:53:00,05:53:00,0,,"['Chartres', 'Maintenon', 'Épernon', 'Rambouillet', 'Versailles Chantiers', 'Paris - Montparnasse - Hall 1 & 2']"
Chartres,Paris - Montparnasse - Hall 1 & 2 ,TER,862402,10-03-2023,06:50:00,06:50:00,0,,"['Chartres', 'La Villette Saint-Prest', 'Jouy', 'Saint-Piat', 'Maintenon', 'Épernon', 'Gazeran', 'Rambouillet', 'Versailles Chantiers', 'Paris - Montparnasse - Hall 1 & 2']"
Chartres,Paris - Montparnasse - Hall 1 & 2 ,TER,862404,10-03-2023,07:20:00,07:20:00,0,,"['Chartres', 'La Villette Saint-Prest', 'Jouy', 'Saint-Piat', 'Maintenon', 'Épernon', 'Gazeran', 'Rambouillet', 'Versailles Chantiers', 'Paris - Montparnasse - Hall 1 & 2']"
Nogent-le-Rotrou,Paris - Montparnasse - Hall 1 & 2 ,TER,862460,10-03-2023,07:35:00,07:35:00,0,,"['Nogent-le-Rotrou', 'Condé-sur-Huisne', 'Bretoncelles', 'La Loupe', 'Pontgouin', 'Courville-sur-Eure', 'Saint-Aubin - Saint-Luperce', 'Amilly Ouerray', 'Chartres', 'Maintenon', 'Épernon', 'Rambouillet', 'Versailles Chantiers', 'Paris - Montparnasse - Hall 1 & 2']"
Rennes,Paris - Montparnasse - Hall 1 & 2 ,TGV INOUI,8072,10-03-2023,07:48:00,07:48:00,0,,"['Rennes', 'Vitré', 'Laval', 'Le Mans', 'Paris - Montparnasse - Hall 1 & 2']"
Chartres,Paris - Montparnasse - Hall 1 & 2 ,TER,862406,10-03-2023,07:50:00,07:50:00,0,,"['Chartres', 'La Villette Saint-Prest', 'Jouy', 'Saint-Piat', 'Maintenon', 'Épernon', 'Gazeran', 'Rambouillet', 'Versailles Chantiers', 'Paris - Montparnasse - Hall 1 & 2']"
Le Mans,Paris - Montparnasse - Hall 1 & 2 ,TER,16752,10-03-2023,07:53:00,07:53:00,0,,"['Le Mans', 'Connerré - Beillé', 'La Ferté-Bernard', 'Nogent-le-Rotrou', 'La Loupe', 'Courville-sur-Eure', 'Chartres', 'Versailles Chantiers', 'Paris - Montparnasse - Hall 1 & 2']"
Poitiers,Paris - Montparnasse - Hall 1 & 2 ,TGV INOUI,8352,10-03-2023,08:02:00,08:02:00,0,,"['Poitiers', 'Saint-Pierre-des-Corps', 'Vendôme - Villiers-sur-Loir', 'Paris - Montparnasse - Hall 1 & 2']"
Strasbourg,Paris Est ,OUIGO,7692,09-03-2023,15:28:00,15:28:00,0,,"['Strasbourg', 'Metz Ville', 'Paris Est']"
Luxembourg (CFL),Paris Est ,TGV INOUI,2870,09-03-2023,16:36:00,16:36:00,0,,"['Luxembourg (CFL)', 'Thionville', 'Metz Ville', 'Paris Est']"
Reims,Paris Est ,TGV INOUI,2752,09-03-2023,18:02:30,18:02:30,0,,"['Reims', 'Paris Est']"
Stuttgart Hbf,Paris Est ,DB SNCF,9572,09-03-2023,18:05:30,18:05:30,0,,"['Stuttgart Hbf', 'Karlsruhe Hauptbahnhof', 'Strasbourg', 'Paris Est']"
Metz Ville,Paris Est ,TGV INOUI,2680,09-03-2023,19:03:00,19:03:00,0,,"['Metz Ville', 'Champagne-Ardenne TGV', 'Paris Est']"
Nancy,Paris Est ,TGV INOUI,2548,09-03-2023,19:51:00,19:51:00,0,,"['Nancy', 'Meuse TGV', 'Paris Est']"
Reims,Paris Est ,TGV INOUI,2760,09-03-2023,20:02:30,20:02:30,0,,"['Reims', 'Paris Est']"
Strasbourg,Paris Est ,TGV INOUI,2454,09-03-2023,20:14:00,20:14:00,0,,"['Strasbourg', 'Champagne-Ardenne TGV', 'Paris Est']"
Mulhouse-Ville,Paris Est ,TER,839556,09-03-2023,20:16:00,20:16:00,0,,"['Mulhouse-Ville', 'Altkirch', 'Belfort-Ville', 'Lure', 'Vesoul', 'Culmont - Chalindrey', 'Langres', 'Chaumont', 'Bar-sur-Aube', 'Vendeuvre', 'Troyes', 'Romilly-sur-Seine', 'Nogent-sur-Seine', 'Paris Est']"
Mannheim - Hauptbahnhof,Paris Est ,DB SNCF,9560,09-03-2023,20:43:00,20:43:00,0,,"['Mannheim - Hauptbahnhof', 'Karlsruhe Hauptbahnhof', 'Strasbourg', 'Paris Est']"
Troyes,Paris Est ,TER,839414,09-03-2023,21:16:00,21:16:00,0,,"['Troyes', 'Romilly-sur-Seine', 'Nogent-sur-Seine', 'Paris Est']"
Luxembourg (CFL),Paris Est ,TGV INOUI,2886,09-03-2023,21:22:00,21:22:00,0,,"['Luxembourg (CFL)', 'Thionville', 'Metz Ville', 'Champagne-Ardenne TGV', 'Paris Est']"
Strasbourg,Paris Est ,TER,839172,09-03-2023,21:23:00,21:23:00,0,,"['Strasbourg', 'Saverne', 'Sarrebourg', 'Lunéville', 'Nancy', 'Toul', 'Commercy', 'Bar-le-Duc', 'Vitry-le-François', 'Châlons-en-Champagne', 'Épernay', 'Dormans', 'Château-Thierry', 'Paris Est']"
Strasbourg,Paris Est ,OUIGO,7694,09-03-2023,21:52:30,21:52:30,0,,"['Strasbourg', 'Paris Est']"
Stuttgart Hbf,Paris Est ,DB SNCF,9570,09-03-2023,22:06:00,22:06:00,0,,"['Stuttgart Hbf', 'Karlsruhe Hauptbahnhof', 'Strasbourg', 'Paris Est']"
Saint-Étienne Châteaucreux,Lyon Part Dieu ,TER,886833,09-03-2023,15:36:00,15:36:00,0,,"['Saint-Étienne Châteaucreux', 'Saint-Chamond', 'Rive-de-Gier', 'Givors Ville', 'Lyon Part Dieu']"
Dijon Ville,Lyon Part Dieu ,TER,17811,09-03-2023,15:42:00,15:42:00,0,,"['Dijon Ville', 'Beaune', 'Chagny', 'Chalon-sur-Saône', 'Tournus', 'Mâcon', 'Belleville sur Saône', 'Villefranche-sur-Saône', 'Saint-Germain-au-Mont-d\'Or"", \'links\': [], \'coord\': {\'lat\': \'45.888431\', \'lon\': \'4.804206\'}, \'label\': ""Saint-Germain-au-Mont-d\'Or (Saint-Germain-au-Mont-d\'Or)"", \'equipments\': [], \'id\': \'stop_point:SNCF:87721282:LongDistanceTrain\'', 'Lyon Part Dieu']"
Annecy,Lyon Part Dieu ,TER,17954,09-03-2023,15:52:00,15:52:00,0,,"['Annecy', 'Rumilly', 'Albens', 'Aix-les-Bains - Le Revard', 'Ambérieu-en-Bugey', 'Lyon Part Dieu']"
Paris - Gare de Lyon - Hall 1 & 2,Lyon Perrache ,TGV INOUI,6617,09-03-2023,15:56:00,15:56:00,0,,"['Paris - Gare de Lyon - Hall 1 & 2', 'Le Creusot - Montceau-les-Mines - Montchanin TGV', 'Lyon Part Dieu', 'Lyon Perrache']"
Lyon Perrache,Paris - Gare de Lyon - Hall 1 & 2 ,TGV INOUI,6624,09-03-2023,15:58:00,15:58:00,0,,"['Lyon Perrache', 'Lyon Part Dieu', 'Le Creusot - Montceau-les-Mines - Montchanin TGV', 'Paris - Gare de Lyon - Hall 1 & 2']"
Marseille - Saint-Charles,Bruxelles-Midi - Brussel-Zuid ,TGV INOUI,9868,09-03-2023,16:53:00,16:53:00,0,,"['Marseille - Saint-Charles', 'Aix-en-Provence TGV', 'Avignon TGV', 'Lyon Part Dieu', 'Marne-la-Vallée - Chessy', 'Aéroport Charles de Gaulle 2 TGV', 'Lille Europe', 'Bruxelles-Midi - Brussel-Zuid']"
Bruxelles-Midi - Brussel-Zuid,Montpellier Saint-Roch ,TGV INOUI,9836,09-03-2023,20:04:00,20:04:00,0,,"['Bruxelles-Midi - Brussel-Zuid', 'Lille Europe', 'Aéroport Charles de Gaulle 2 TGV', 'Marne-la-Vallée - Chessy', 'Lyon Part Dieu', 'Valence TGV Rhône-Alpes Sud', 'Nîmes Centre', 'Montpellier Saint-Roch']"
Saint-Étienne Châteaucreux,Lyon Part Dieu ,TER,886807,10-03-2023,07:36:00,07:36:00,0,,"['Saint-Étienne Châteaucreux', 'Saint-Chamond', 'Rive-de-Gier', 'Givors Ville', 'Lyon Part Dieu']"
Valence Ville,Lyon Part Dieu ,TER,886104,10-03-2023,07:40:00,07:40:00,0,,"['Valence Ville', 'Tain-l\'Hermitage - Tournon"", \'links\': [], \'coord\': {\'lat\': \'45.072178\', \'lon\': \'4.839708\'}, \'label\': ""Tain-l\'Hermitage - Tournon (Tain-l\'Hermitage)"", \'equipments\': [], \'id\': \'stop_point:SNCF:87761163:LongDistanceTrain\'', 'Saint-Vallier sur Rhône', 'Saint-Rambert-d\'Albon"", \'links\': [], \'coord\': {\'lat\': \'45.29776\', \'lon\': \'4.810739\'}, \'label\': ""Saint-Rambert-d\'Albon (Saint-Rambert-d\'Albon)"", \'equipments\': [], \'id\': \'stop_point:SNCF:87761106:LongDistanceTrain\'', 'Le Péage-de-Roussillon', 'Saint-Clair - Les Roches', 'Vienne', 'Lyon Part Dieu']"
Dijon Ville,Lyon Part Dieu ,TER,17801,10-03-2023,07:42:00,07:42:00,0,,"['Dijon Ville', 'Beaune', 'Chagny', 'Chalon-sur-Saône', 'Tournus', 'Mâcon', 'Belleville sur Saône', 'Villefranche-sur-Saône', 'Saint-Germain-au-Mont-d\'Or"", \'links\': [], \'coord\': {\'lat\': \'45.888431\', \'lon\': \'4.804206\'}, \'label\': ""Saint-Germain-au-Mont-d\'Or (Saint-Germain-au-Mont-d\'Or)"", \'equipments\': [], \'id\': \'stop_point:SNCF:87721282:LongDistanceTrain\'', 'Lyon Part Dieu']"
Grenoble,Lyon Part Dieu ,TER,17604,10-03-2023,07:44:00,07:44:00,0,,"['Grenoble', 'Voiron', 'La Tour-du-Pin', 'Bourgoin-Jallieu', 'La Verpillière', 'Lyon Part Dieu']"
Ambérieu-en-Bugey,Saint-Étienne Châteaucreux ,TER,886706,10-03-2023,07:48:00,07:48:00,0,,"['Ambérieu-en-Bugey', 'Meximieux - Pérouges', 'La Valbonne', 'Montluel', 'Beynost', 'Saint-Maurice-de-Beynost', 'Miribel', 'Crépieux la Pape', 'Lyon Part Dieu', 'Givors Ville', 'Rive-de-Gier', 'Saint-Chamond', 'Saint-Étienne Châteaucreux']"
Bourg-en-Bresse,Lyon Vaise ,TER,889413,10-03-2023,07:48:00,07:48:00,0,,"['Bourg-en-Bresse', 'Servas - Lent', 'Saint-Paul-de-Varax', 'Marlieux - Châtillon-sur-Chalaronne', 'Villars-les-Dombes', 'Saint-Marcel-en-Dombes', 'Saint-André-de-Corcy', 'Mionnay', 'Les Échets', 'Sathonay - Rillieux', 'Lyon Part Dieu', 'Lyon Perrache', 'Lyon Vaise']"
Annecy,Lyon Part Dieu ,TER,17940,10-03-2023,07:52:00,07:52:00,0,,"['Annecy', 'Rumilly', 'Albens', 'Aix-les-Bains - Le Revard', 'Ambérieu-en-Bugey', 'Lyon Part Dieu']"
Lyon Perrache,Paris - Gare de Lyon - Hall 1 & 2 ,TGV INOUI,6608,10-03-2023,07:58:00,07:58:00,0,,"['Lyon Perrache', 'Lyon Part Dieu', 'Le Creusot - Montceau-les-Mines - Montchanin TGV', 'Paris - Gare de Lyon - Hall 1 & 2']"
Paris - Gare de Lyon - Hall 1 & 2,Lyon Perrache ,TGV INOUI,6601,10-03-2023,08:08:00,08:08:00,0,,"['Paris - Gare de Lyon - Hall 1 & 2', 'Le Creusot - Montceau-les-Mines - Montchanin TGV', 'Lyon Part Dieu', 'Lyon Perrache']"
Lyon Vaise,Bourg-en-Bresse ,TER,889465,10-03-2023,08:09:00,08:09:00,0,,"['Lyon Vaise', 'Lyon Perrache', 'Lyon Part Dieu', 'Sathonay - Rillieux', 'Les Échets', 'Mionnay', 'Saint-André-de-Corcy', 'Saint-Marcel-en-Dombes', 'Villars-les-Dombes', 'Marlieux - Châtillon-sur-Chalaronne', 'Saint-Paul-de-Varax', 'Servas - Lent', 'Bourg-en-Bresse']"
Grenoble,Lyon Part Dieu ,TER,17606,10-03-2023,08:15:00,08:15:00,0,,"['Grenoble', 'Voiron', 'La Tour-du-Pin', 'Bourgoin-Jallieu', 'La Verpillière', 'Lyon Part Dieu']"
Paris - Gare de Lyon - Hall 1 & 2,Lyon Perrache ,TGV INOUI,6641,10-03-2023,08:22:00,08:22:00,0,,"['Paris - Gare de Lyon - Hall 1 & 2', 'Lyon Part Dieu', 'Lyon Perrache']"
Saint-Étienne Châteaucreux,Lyon Part Dieu ,TER,886811,10-03-2023,08:36:00,08:36:00,0,,"['Saint-Étienne Châteaucreux', 'Saint-Chamond', 'Rive-de-Gier', 'Givors Ville', 'Lyon Part Dieu']"
Dijon Ville,Lyon Part Dieu ,TER,17803,10-03-2023,08:42:00,08:42:00,0,,"['Dijon Ville', 'Beaune', 'Chagny', 'Chalon-sur-Saône', 'Tournus', 'Mâcon', 'Belleville sur Saône', 'Villefranche-sur-Saône', 'Saint-Germain-au-Mont-d\'Or"", \'links\': [], \'coord\': {\'lat\': \'45.888431\', \'lon\': \'4.804206\'}, \'label\': ""Saint-Germain-au-Mont-d\'Or (Saint-Germain-au-Mont-d\'Or)"", \'equipments\': [], \'id\': \'stop_point:SNCF:87721282:LongDistanceTrain\'', 'Lyon Part Dieu']"
